BANKSTATEMENTSHORTID,BANKSTATEMENTITEM,ACCOUNTINGDOCUMENT,ACCOUNTINGDOCUMENTITEM,FISCALYEAR,CLEARINGACCOUNTINGDOCUMENT,COMPANYCODE,CLEARINGDOCFISCALYEAR,ISRESIDUAL,BANKSTATEMENTPROCESSMETHOD,ISRULESPROPOSED
"00060585","00001","1100074924","001","2016","0100013868","F001","2017","N","2","N"
"00060586","00001","1100074925","001","2016","0100013870","F001","2017","N","2","N"
"00060587","00001","1100074926","001","2016","0100013872","F001","2017","N","2","N"
"00060588","00001","1100074928","001","2016","0100013874","F001","2017","N","2","N"
"00060589","00001","1100074929","001","2016","0100013876","F001","2017","N","2","N"
"00060590","00001","1100074930","001","2016","0100013878","F001","2017","N","2","N"
"00060591","00001","1100074931","001","2016","0100013880","F001","2017","N","2","N"
"00060592","00001","1100074933","001","2016","0100013882","F001","2017","N","2","N"
"00060594","00001","1100075857","001","2016","0100013885","F001","2017","N","2","N"
"00060643","00001","1100077244","001","2017","0100013940","F001","2017","N","2","Y"
"00060643","00001","1100077245","001","2017","0100013940","F001","2017","N","2","Y"
"00060648","00001","1100077248","001","2017","0100013946","F001","2017","N","2","Y"
"00060648","00001","1100077249","001","2017","0100013946","F001","2017","N","2","Y"
"00060652","00001","1100077253","001","2017","0100013953","F001","2017","N","2","Y"
"00060652","00001","1100077254","001","2017","0100013953","F001","2017","N","2","Y"
"00060660","00001","1100077260","001","2017","0100013961","F001","2017","N","2","Y"
"00060660","00001","1100077261","001","2017","0100013961","F001","2017","N","2","Y"
"00060660","00001","0100013959","002","2017","0100013961","F001","2017","N","2","N"
"00060664","00001","1100075982","001","2016","0100013975","F001","2017","N","2","N"
"00060665","00001","1100075983","001","2016","0100013977","F001","2017","N","2","N"
"00060669","00001","1100075987","001","2016","0100013982","F001","2017","N","2","N"
"00060670","00001","1100075988","001","2016","0100013984","F001","2017","N","2","N"
"00060672","00001","1100075991","001","2016","0100013987","F001","2017","N","2","N"
"00060673","00001","1100075992","001","2016","0100013989","F001","2017","N","2","N"
"00060674","00001","1100075993","001","2016","0100013991","F001","2017","N","2","N"
"00060675","00001","1100075994","001","2016","0100013993","F001","2017","N","2","N"
"00060676","00001","1100075995","001","2016","0100013995","F001","2017","N","2","N"
"00060677","00001","1100075996","001","2016","0100013997","F001","2017","N","2","N"
"00060681","00001","1100076003","001","2016","0100014002","F001","2017","N","2","N"
"00060682","00001","1100076004","001","2016","0100014004","F001","2017","N","2","N"
"00060683","00001","1100076005","001","2016","0100014006","F001","2017","N","2","N"
"00060684","00001","1100076006","001","2016","0100014008","F001","2017","N","2","N"
"00060685","00001","1100076008","001","2016","0100014010","F001","2017","N","2","N"
"00060686","00001","1100076009","001","2016","0100014012","F001","2017","N","2","N"
"00060687","00001","1100076010","001","2016","0100014014","F001","2017","N","2","N"
"00060688","00001","1100076011","001","2016","0100014016","F001","2017","N","2","N"
"00060689","00001","1100076012","001","2016","0100014018","F001","2017","N","2","N"
"00060690","00001","1100076013","001","2016","0100014020","F001","2017","N","2","N"
"00060691","00001","1100076014","001","2016","0100014022","F001","2017","N","2","N"
"00060692","00001","1100076015","001","2016","0100014024","F001","2017","N","2","N"
"00060693","00001","1100076016","001","2016","0100014026","F001","2017","N","2","N"
"00060694","00001","1100076018","001","2016","0100014028","F001","2017","N","2","N"
"00060695","00001","1100076019","001","2016","0100014030","F001","2017","N","2","N"
"00060702","00001","1100076027","001","2016","0100014038","F001","2017","N","2","N"
"00060703","00001","1100076028","001","2016","0100014040","F001","2017","N","2","N"
"00060706","00001","1100076031","001","2016","0100014044","F001","2017","N","2","N"
"00060707","00001","1100076032","001","2016","0100014046","F001","2017","N","2","N"
"00060710","00001","1100076035","001","2016","0100014050","F001","2017","N","2","N"
"00060721","00001","1100076049","001","2016","0100014062","F001","2017","N","2","N"
"00060722","00001","1100076050","001","2016","0100014064","F001","2017","N","2","N"
"00060723","00001","1100076051","001","2016","0100014066","F001","2017","N","2","N"
"00060724","00001","1100076052","001","2016","0100014068","F001","2017","N","2","N"
"00060725","00001","1100076053","001","2016","0100014070","F001","2017","N","2","N"
"00060726","00001","1100076054","001","2016","0100014072","F001","2017","N","2","N"
"00060728","00001","1100076057","001","2016","0100014075","F001","2017","N","2","N"
"00060729","00001","1100076060","001","2016","0100014077","F001","2017","N","2","N"
"00060730","00001","1100076061","001","2016","0100014079","F001","2017","N","2","N"
"00060731","00001","1100076062","001","2016","0100014081","F001","2017","N","2","N"
"00060732","00001","1100076064","001","2016","0100014083","F001","2017","N","2","N"
"00060733","00001","1100076065","001","2016","0100014085","F001","2017","N","2","N"
"00060734","00001","1100076066","001","2016","0100014087","F001","2017","N","2","N"
"00060736","00001","1100076067","001","2016","0100014090","F001","2017","N","2","N"
"00060738","00001","1100076068","001","2016","0100014094","F001","2017","N","2","N"
"00060754","00001","1100076077","001","2016","0100014121","F001","2017","N","2","N"
"00060757","00001","1100076080","001","2016","0100014125","F001","2017","N","2","N"
"00060758","00001","1100076081","001","2016","0100014127","F001","2017","N","2","N"
"00060760","00001","1100076085","001","2016","0100014130","F001","2017","N","2","N"
"00060764","00001","1100076091","001","2016","0100014135","F001","2017","N","2","N"
"00060765","00001","1100076092","001","2016","0100014137","F001","2017","N","2","N"
"00060766","00001","1100076093","001","2016","0100014139","F001","2017","N","2","N"
"00060767","00001","1100076094","001","2016","0100014141","F001","2017","N","2","N"
"00060768","00001","1100076095","001","2016","0100014143","F001","2017","N","2","N"
"00060769","00001","1100076096","001","2016","0100014145","F001","2017","N","2","N"
"00060770","00001","1100076097","001","2016","0100014147","F001","2017","N","2","N"
"00060771","00001","1100076100","001","2016","0100014149","F001","2017","N","2","N"
"00060735","00001","1100077266","001","2017","0100014091","F001","2017","N","2","Y"
"00060735","00001","1100077267","001","2017","0100014091","F001","2017","N","2","Y"
"00060737","00001","1100077268","001","2017","0100014095","F001","2017","N","2","Y"
"00060737","00001","1100077269","001","2017","0100014095","F001","2017","N","2","Y"
"00060741","00001","1100077272","001","2017","0100014101","F001","2017","N","2","Y"
"00060741","00001","1100077273","001","2017","0100014101","F001","2017","N","2","Y"
"00060741","00001","0100014099","002","2017","0100014101","F001","2017","N","2","N"
"00060743","00001","1100077274","001","2017","0100014105","F001","2017","N","2","Y"
"00060743","00001","1100077275","001","2017","0100014105","F001","2017","N","2","Y"
"00060743","00001","0100014103","002","2017","0100014105","F001","2017","N","2","N"
"00060746","00001","1100077276","001","2017","0100014109","F001","2017","N","2","Y"
"00060746","00001","1100077277","001","2017","0100014109","F001","2017","N","2","N"
"00060772","00001","1100076101","001","2016","0100014151","F001","2017","N","2","N"
"00060775","00001","1100076104","001","2016","0100014155","F001","2017","N","2","N"
"00060776","00001","1100076105","001","2016","0100014157","F001","2017","N","2","N"
"00060777","00001","1100076106","001","2016","0100014159","F001","2017","N","2","N"
"00060779","00001","1100076108","001","2016","0100014162","F001","2017","N","2","N"
"00060784","00001","1100076113","001","2016","0100014168","F001","2017","N","2","N"
"00060785","00001","1100076114","001","2016","0100014170","F001","2017","N","2","N"
"00060789","00001","1100076118","001","2016","0100014175","F001","2017","N","2","N"
"00060790","00001","1100076119","001","2016","0100014177","F001","2017","N","2","N"
"00060792","00001","1100076122","001","2016","0100014180","F001","2017","N","2","N"
"00060793","00001","1100076123","001","2016","0100014182","F001","2017","N","2","N"
"00060794","00001","1100076125","001","2016","0100014184","F001","2017","N","2","N"
"00060795","00001","1100076127","001","2016","0100014186","F001","2017","N","2","N"
"00060796","00001","1100076128","001","2016","0100014188","F001","2017","N","2","N"
"00060797","00001","1100076129","001","2016","0100014190","F001","2017","N","2","N"
"00060798","00001","1100076130","001","2016","0100014192","F001","2017","N","2","N"
"00060799","00001","1100076131","001","2016","0100014194","F001","2017","N","2","N"
"00060800","00001","1100076132","001","2016","0100014196","F001","2017","N","2","N"
"00060801","00001","1100076133","001","2016","0100014198","F001","2017","N","2","N"
"00060802","00001","1100076134","001","2016","0100014200","F001","2017","N","2","N"
"00060812","00001","1100076145","001","2016","0100014212","F001","2017","N","2","N"
"00060813","00001","1100076146","001","2016","0100014215","F001","2017","N","2","N"
"00060819","00001","1100076149","001","2016","0100014226","F001","2017","N","2","N"
"00060809","00001","1100077290","001","2017","0100014209","F001","2017","N","2","Y"
"00060809","00001","1100077291","001","2017","0100014209","F001","2017","N","2","Y"
"00060811","00001","1100077292","001","2017","0100014213","F001","2017","N","2","Y"
"00060811","00001","1100077293","001","2017","0100014213","F001","2017","N","2","Y"
"00060814","00001","1100077296","001","2017","0100014219","F001","2017","N","2","Y"
"00060814","00001","1100077297","001","2017","0100014219","F001","2017","N","2","Y"
"00060814","00001","0100014217","002","2017","0100014219","F001","2017","N","2","N"
"00060816","00001","1100077298","001","2017","0100014223","F001","2017","N","2","Y"
"00060816","00001","1100077299","001","2017","0100014223","F001","2017","N","2","Y"
"00060816","00001","0100014221","002","2017","0100014223","F001","2017","N","2","N"
"00060818","00001","1100077300","001","2017","0100014227","F001","2017","N","2","Y"
"00060818","00001","1100077301","001","2017","0100014227","F001","2017","N","2","N"
"00060824","00001","1100077316","001","2017","0100014236","F001","2017","N","2","Y"
"00060824","00001","1100077317","001","2017","0100014236","F001","2017","N","2","Y"
"00060825","00001","1100077318","001","2017","0100014238","F001","2017","N","2","Y"
"00060825","00001","1100077319","001","2017","0100014238","F001","2017","N","2","Y"
"00060827","00001","1100077322","001","2017","0100014242","F001","2017","N","2","Y"
"00060827","00001","1100077323","001","2017","0100014242","F001","2017","N","2","Y"
"00060827","00001","0100014241","002","2017","0100014242","F001","2017","N","2","N"
"00060828","00001","1100077324","001","2017","0100014245","F001","2017","N","2","Y"
"00060828","00001","1100077325","001","2017","0100014245","F001","2017","N","2","Y"
"00060828","00001","0100014244","002","2017","0100014245","F001","2017","N","2","N"
"00060829","00001","1100077326","001","2017","0100014247","F001","2017","N","2","Y"
"00060829","00001","1100077327","001","2017","0100014247","F001","2017","N","2","N"
"00060833","00001","1100077340","001","2017","0100014257","F001","2017","N","2","Y"
"00060833","00001","1100077341","001","2017","0100014257","F001","2017","N","2","Y"
"00060834","00001","1100077344","001","2017","0100014260","F001","2017","N","2","Y"
"00060834","00001","1100077345","001","2017","0100014260","F001","2017","N","2","Y"
"00060836","00001","1100077350","001","2017","0100014263","F001","2017","N","2","Y"
"00060836","00001","1100077351","001","2017","0100014263","F001","2017","N","2","N"
"00060837","00001","1100077352","001","2017","0100014265","F001","2017","N","2","Y"
"00060837","00001","1100077353","001","2017","0100014265","F001","2017","N","2","Y"
"00060838","00001","1100077354","001","2017","0100014267","F001","2017","N","2","Y"
"00060838","00001","1100077355","001","2017","0100014267","F001","2017","N","2","Y"
"00060847","00001","1100077360","001","2017","0100014277","F001","2017","N","2","Y"
"00060847","00001","1100077361","001","2017","0100014277","F001","2017","N","2","Y"
"00060850","00001","1100077364","001","2017","0100014282","F001","2017","N","2","Y"
"00060850","00001","1100077365","001","2017","0100014282","F001","2017","N","2","Y"
"00060850","00001","0100014280","002","2017","0100014282","F001","2017","N","2","N"
"00060852","00001","1100077366","001","2017","0100014286","F001","2017","N","2","Y"
"00060852","00001","1100077367","001","2017","0100014286","F001","2017","N","2","Y"
"00060852","00001","0100014284","002","2017","0100014286","F001","2017","N","2","N"
"00060854","00001","1100077368","001","2017","0100014288","F001","2017","N","2","Y"
"00060854","00001","1100077369","001","2017","0100014288","F001","2017","N","2","N"
"00060858","00001","1100077382","001","2017","0100014298","F001","2017","N","2","Y"
"00060858","00001","1100077383","001","2017","0100014298","F001","2017","N","2","Y"
"00060859","00001","1100077386","001","2017","0100014301","F001","2017","N","2","Y"
"00060859","00001","1100077387","001","2017","0100014301","F001","2017","N","2","Y"
"00060872","00001","1100077408","001","2017","0100014339","F001","2017","N","2","N"
"00060873","00001","1100077409","001","2017","0100014343","F001","2017","N","2","N"
"00060874","00001","1100077410","001","2017","0100014347","F001","2017","N","2","N"
"00060880","00001","1100077417","001","2017","0100014371","F001","2017","N","2","N"
"00060880","00001","1100077418","001","2017","0100014371","F001","2017","N","2","N"
"00060892","00001","1100077423","001","2017","0100014403","F001","2017","N","2","N"
"00060998","00001","1100077430","001","2017","0100014529","F001","2017","N","2","Y"
"00060998","00001","1100077431","001","2017","0100014529","F001","2017","N","2","Y"
"00061005","00001","1100077434","001","2017","0100014534","F001","2017","N","2","Y"
"00061005","00001","1100077435","001","2017","0100014534","F001","2017","N","2","Y"
"00061026","00001","1100077438","001","2017","0100014556","F001","2017","N","2","Y"
"00061026","00001","1100077439","001","2017","0100014556","F001","2017","N","2","Y"
"00061028","00001","1100077440","001","2017","0100014558","F001","2017","N","2","Y"
"00061028","00001","1100077441","001","2017","0100014558","F001","2017","N","2","Y"
"00061030","00001","1100077444","001","2017","0100014562","F001","2017","N","2","Y"
"00061030","00001","1100077445","001","2017","0100014562","F001","2017","N","2","Y"
"00061030","00001","0100014561","002","2017","0100014562","F001","2017","N","2","N"
"00061031","00001","1100077446","001","2017","0100014565","F001","2017","N","2","Y"
"00061031","00001","1100077447","001","2017","0100014565","F001","2017","N","2","Y"
"00061031","00001","0100014564","002","2017","0100014565","F001","2017","N","2","N"
"00061032","00001","1100077448","001","2017","0100014567","F001","2017","N","2","Y"
"00061032","00001","1100077449","001","2017","0100014567","F001","2017","N","2","N"
"00061036","00001","1100077462","001","2017","0100014577","F001","2017","N","2","Y"
"00061036","00001","1100077463","001","2017","0100014577","F001","2017","N","2","Y"
"00061037","00001","1100077466","001","2017","0100014582","F001","2017","N","2","Y"
"00061037","00001","1100077467","001","2017","0100014582","F001","2017","N","2","Y"
"00061037","00002","1100077468","001","2017","0100014583","F001","2017","N","2","Y"
"00061037","00002","1100077469","001","2017","0100014583","F001","2017","N","2","Y"
"00061037","00002","1100077470","001","2017","0100014583","F001","2017","N","2","Y"
"00061037","00002","1100077471","001","2017","0100014583","F001","2017","N","2","Y"
"00061037","00001","0100014580","002","2017","0100014582","F001","2017","N","2","N"
"00061037","00002","0100014581","002","2017","0100014583","F001","2017","N","2","N"
"00061038","00001","1100077472","001","2017","0100014588","F001","2017","N","2","Y"
"00061038","00001","1100077473","001","2017","0100014588","F001","2017","N","2","Y"
"00061038","00002","1100077474","001","2017","0100014589","F001","2017","N","2","Y"
"00061038","00002","1100077475","001","2017","0100014589","F001","2017","N","2","Y"
"00061038","00002","1100077476","001","2017","0100014589","F001","2017","N","2","Y"
"00061038","00002","1100077477","001","2017","0100014589","F001","2017","N","2","Y"
"00061038","00001","0100014586","002","2017","0100014588","F001","2017","N","2","N"
"00061038","00002","0100014587","002","2017","0100014589","F001","2017","N","2","N"
"00061370","00001","1100077095","001","2016","0100014922","F001","2017","N","2","N"
"00061371","00001","1100077096","001","2016","0100014924","F001","2017","N","2","N"
"00061373","00001","1100077098","001","2016","0100014927","F001","2017","N","2","N"
"00061375","00001","1100077100","001","2016","0100014930","F001","2017","N","2","N"
"00061380","00001","1100077106","001","2016","0100014936","F001","2017","N","2","N"
"00061381","00001","1100077107","001","2016","0100014938","F001","2017","N","2","N"
"00061382","00001","1100077108","001","2016","0100014940","F001","2017","N","2","N"
"00061383","00001","1100077109","001","2016","0100014942","F001","2017","N","2","N"
"00061384","00001","1100077110","001","2016","0100014944","F001","2017","N","2","N"
"00061385","00001","1100077111","001","2016","0100014946","F001","2017","N","2","N"
"00061386","00001","1100077113","001","2016","0100014948","F001","2017","N","2","N"
"00061387","00001","1100077116","001","2016","0100014950","F001","2017","N","2","N"
"00061390","00001","1100077119","001","2016","0100014954","F001","2017","N","2","N"
"00061391","00001","1100077120","001","2016","0100014956","F001","2017","N","2","N"
"00061392","00001","1100077121","001","2016","0100014958","F001","2017","N","2","N"
"00061393","00001","1100077123","001","2016","0100014960","F001","2017","N","2","N"
"00061397","00001","1100077128","001","2016","0100014965","F001","2017","N","2","N"
"00061401","00001","1100077133","001","2016","0100014970","F001","2017","N","2","N"
"00061402","00001","1100077134","001","2016","0100014972","F001","2017","N","2","N"
"00061405","00001","1100077137","001","2016","0100014976","F001","2017","N","2","N"
"00061406","00001","1100077138","001","2016","0100014978","F001","2017","N","2","N"
"00061407","00001","1100077139","001","2016","0100014980","F001","2017","N","2","N"
"00061408","00001","1100077140","001","2016","0100014982","F001","2017","N","2","N"
"00061409","00001","1100077142","001","2016","0100014984","F001","2017","N","2","N"
"00061410","00001","1100077143","001","2016","0100014986","F001","2017","N","2","N"
"00061411","00001","1100077144","001","2016","0100014988","F001","2017","N","2","N"
"00061412","00001","1100077145","001","2016","0100014990","F001","2017","N","2","N"
"00061413","00001","1100077146","001","2016","0100014992","F001","2017","N","2","N"
"00061418","00001","1100077151","001","2016","0100014998","F001","2017","N","2","N"
"00061419","00001","1100077152","001","2016","0100015000","F001","2017","N","2","N"
"00061427","00001","1100077161","001","2016","0100015009","F001","2017","N","2","N"
"00061428","00001","1100077162","001","2016","0100015011","F001","2017","N","2","N"
"00061429","00001","1100077163","001","2016","0100015013","F001","2017","N","2","N"
"00061430","00001","1100077164","001","2016","0100015015","F001","2017","N","2","N"
"00061431","00001","1100077165","001","2016","0100015017","F001","2017","N","2","N"
"00061432","00001","1100077166","001","2016","0100015019","F001","2017","N","2","N"
"00061435","00001","1100077169","001","2016","0100015023","F001","2017","N","2","N"
"00061436","00001","1100077170","001","2016","0100015025","F001","2017","N","2","N"
"00061437","00001","1100077172","001","2016","0100015027","F001","2017","N","2","N"
"00061438","00001","1100077174","001","2016","0100015029","F001","2017","N","2","N"
"00061448","00001","1100077188","001","2016","0100015040","F001","2017","N","2","N"
"00061449","00001","1100077189","001","2016","0100015042","F001","2017","N","2","N"
"00061450","00001","1100077190","001","2016","0100015044","F001","2017","N","2","N"
"00061453","00001","1100077193","001","2016","0100015048","F001","2017","N","2","N"
"00061459","00001","1100077199","001","2016","0100015055","F001","2017","N","2","N"
"00061460","00001","1100077200","001","2016","0100015057","F001","2017","N","2","N"
"00061461","00001","1100077202","001","2016","0100015059","F001","2017","N","2","N"
"00061462","00001","1100077203","001","2016","0100015061","F001","2017","N","2","N"
"00061463","00001","1100077204","001","2016","0100015063","F001","2017","N","2","N"
"00061464","00001","1100077205","001","2016","0100015065","F001","2017","N","2","N"
"00061465","00001","1100077206","001","2016","0100015067","F001","2017","N","2","N"
"00061466","00001","1100077207","001","2016","0100015069","F001","2017","N","2","N"
"00061467","00001","1100077208","001","2016","0100015071","F001","2017","N","2","N"
"00061468","00001","1100077209","001","2016","0100015073","F001","2017","N","2","N"
"00061470","00001","1100077213","001","2016","0100015076","F001","2017","N","2","N"
"00061471","00001","1100077214","001","2016","0100015078","F001","2017","N","2","N"
"00061473","00001","1100077216","001","2016","0100015081","F001","2017","N","2","N"
"00061477","00001","1100077221","001","2016","0100015086","F001","2017","N","2","N"
"00061478","00001","1100077222","001","2016","0100015088","F001","2017","N","2","N"
"00061481","00001","1100077226","001","2016","0100015092","F001","2017","N","2","N"
"00061482","00001","1100077227","001","2016","0100015094","F001","2017","N","2","N"
"00061485","00001","1100077230","001","2016","0100015098","F001","2017","N","2","N"
"00061486","00001","1100077231","001","2016","0100015100","F001","2017","N","2","N"
"00061487","00001","1100077232","001","2016","0100015102","F001","2017","N","2","N"
"00061488","00001","1100077233","001","2016","0100015104","F001","2017","N","2","N"
"00061489","00001","1100077235","001","2016","0100015106","F001","2017","N","2","N"
"00061490","00001","1100077236","001","2016","0100015108","F001","2017","N","2","N"
"00061491","00001","1100077237","001","2016","0100015110","F001","2017","N","2","N"
"00061495","00001","1100077245","001","2016","0100015115","F001","2017","N","2","N"
"00061498","00001","1100077248","001","2016","0100015119","F001","2017","N","2","N"
"00061499","00001","1100077249","001","2016","0100015121","F001","2017","N","2","N"
"00061501","00001","1100077252","001","2016","0100015124","F001","2017","N","2","N"
"00061502","00001","1100077253","001","2016","0100015126","F001","2017","N","2","N"
"00061503","00001","1100077254","001","2016","0100015128","F001","2017","N","2","N"
"00061506","00001","1100077258","001","2016","0100015132","F001","2017","N","2","N"
"00061507","00001","1100077259","001","2016","0100015134","F001","2017","N","2","N"
"00061508","00001","1100077260","001","2016","0100015136","F001","2017","N","2","N"
"00061509","00001","1100077261","001","2016","0100015138","F001","2017","N","2","N"
"00061514","00001","1100077266","001","2016","0100015144","F001","2017","N","2","N"
"00061515","00001","1100077267","001","2016","0100015146","F001","2017","N","2","N"
"00061516","00001","1100077268","001","2016","0100015148","F001","2017","N","2","N"
