CLIENT,COMPANYCODE,HOUSEBANK,HOUSEBANKACCOUNT,BANKSTATEMENT,BANKSTATEMENTSHORTID,BANKSTATEMENTITEM,FISCALYEAR,POSTINGDATE,VALUEDATE,CURRENCY,TRANSACTIONCURRENCY,AMOUNTINTRANSACTIONCURRENCY,DEBITCREDITCODE,PARTNERBANKCOUNTRY,PARTNERBANK,PARTNERBANKSWIFTCODE,PARTNERBANKACCOUNT,PARTNERBANKIBAN,BUSINESSPARTNERNAME,BANKLEDGERDOCUMENT,SUBLEDGERDOCUMENT,DOCUMENTREFERENCEID,PAYMENTADVICEACCOUNTTYPE,PAYMENTADVICEACCOUNT,ASSIGNMENTREFERENCE,PAYMENTREFERENCE,BANKSTATEMENTPOSTINGRULE,SUBLEDGERONACCOUNTDOCUMENT,PAYMENTADVICE,MEMOLINE,PAYMENTTRANSACTIONDESCRIPTION,CHEQUE,BANKPOSTINGKEY,PAYMENTTRANSACTION,PAYMENTEXTERNALTRANSACTYPE
"910","F001","DBK1","DB01","50205","00060798","00001","2017","20170127","20170127","EUR","EUR","16.00","H","","","","","","","0100014191","0100014192","","D","C0001","","","0001","","","110 0076130
","","","","",""
"910","F001","DBK1","DB01","50226","00060819","00001","2017","20170127","20170127","EUR","EUR","12.00","H","","","","","","","0100014225","0100014226","","D","C0001","","","0001","","","1/100076149
","","","","",""
"910","F001","DBK1","DB01","50216","00060809","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014207","0100014209","","D","C0001","","","0001","","","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50240","00060833","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014255","0100014257","","D","C0001","","","0001","","","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50257","00060850","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014279","0100014282","","D","C0001","","","UT15","0100014280","020006085000001","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50261","00060854","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014287","0100014288","","D","C0001","","","0001","","","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50298","00060892","00001","2017","20170127","20170127","EUR","EUR","1190.00","H","","","","","","","0100014402","0100014403","","D","C0001","","","0001","","","","","","","",""
"910","F001","DBK1","DB01","50411","00061005","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014531","0100014534","","D","C0001","","","0001","","","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50434","00061028","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014557","0100014558","","D","C0001","","","0001","","","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50436","00061030","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014560","0100014562","","D","C0001","","","UT15","0100014561","020006103000001","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50793","00061387","00001","2017","20170127","20170127","EUR","EUR","22.00","H","","","","","","","0100014949","0100014950","","D","C0001","","","0001","","","110 0077116
","","","","",""
"910","F001","DBK1","DB01","50808","00061402","00001","2017","20170127","20170127","EUR","EUR","97.00","H","","","","","","","0100014971","0100014972","","D","C0001","","","0001","","","1100077134
","","","","",""
"910","F001","DBK1","DB01","50812","00061406","00001","2017","20170127","20170127","EUR","EUR","51.00","H","","","","","","","0100014977","0100014978","","D","C0001","","","0001","","","1100077138
","","","","",""
"910","F001","DBK1","DB01","50854","00061448","00001","2017","20170127","20170127","EUR","EUR","93.00","H","","","","","","","0100015039","0100015040","","D","C0001","","","0001","","","1100077188
","","","","",""
"910","F001","DBK1","DB01","50867","00061461","00001","2017","20170127","20170127","EUR","EUR","23.00","H","","","","","","","0100015058","0100015059","","D","C0001","","","0001","","","1100077202
","","","","",""
"910","F001","DBK1","DB01","50873","00061467","00001","2017","20170127","20170127","EUR","EUR","36.00","H","","","","","","","0100015070","0100015071","","D","C0001","","","0001","","","1100077208
","","","","",""
"910","F001","DBK1","DB01","50909","00061503","00001","2017","20170127","20170127","EUR","EUR","78.00","H","","","","","","","0100015127","0100015128","","D","C0001","","","0001","","","1100077254
","","","","",""
"910","F001","DBK1","DB01","50929","00061523","00001","2017","20170127","20170127","EUR","EUR","23.00","H","","","","","","","0100015160","0100015161","","D","C0001","","","0001","","","110/0077276
","","","","",""
"910","F001","DBK1","DB01","50945","00061539","00001","2017","20170127","20170127","EUR","EUR","59.00","H","","","","","","","0100015182","0100015183","","D","C0001","","","0001","","","11/0077297
","","","","",""
"910","F001","DBK1","DB01","50949","00061543","00001","2017","20170127","20170127","EUR","EUR","50.00","H","","","","","","","0100015190","0100015191","","D","C0001","","","0001","","","1100077301
","","","","",""
"910","F001","DBK1","DB01","50993","00061587","00001","2017","20170127","20170127","EUR","EUR","47.00","H","","","","","","","0100015248","0100015249","","D","C0001","","","0001","","","1/100077350
","","","","",""
"910","F001","DBK1","DB01","51000","00061594","00001","2017","20170127","20170127","EUR","EUR","64.00","H","","","","","","","0100015260","0100015261","","D","C0001","","","0001","","","1100077360
","","","","",""
"910","F001","DBK1","DB01","51001","00061595","00001","2017","20170127","20170127","EUR","EUR","27.00","H","","","","","","","0100015262","0100015263","","D","C0001","","","0001","","","1100077361
","","","","",""
"910","F001","DBK1","DB01","51030","00061624","00001","2017","20170127","20170127","EUR","EUR","76.00","H","","","","","","","0100015299","0100015300","","D","C0001","","","0001","","","1100077395
","","","","",""
"910","F001","DBK1","DB01","51045","00061639","00001","2017","20170127","20170127","EUR","EUR","52.00","H","","","","","","","0100015323","0100015324","","D","C0001","","","0001","","","1100077417
","","","","",""
"910","F001","DBK1","DB01","51083","00061677","00001","2017","20170127","20170127","EUR","EUR","90.00","H","","","","","","","0100015386","0100015387","","D","C0001","","","0001","","","1100077463
","","","","",""
"910","F001","DBK1","DB01","51110","00061704","00001","2017","20170127","20170127","EUR","EUR","74.00","H","","","","","","","0100015428","0100015429","","D","C0001","","","0001","","","1100077494
","","","","",""
"910","F001","DBK1","DB01","51121","00061715","00001","2017","20170127","20170127","EUR","EUR","33.00","H","","","","","","","0100015450","0100015451","","D","C0001","","","0001","","","110/077506
","","","","",""
"910","F001","DBK1","DB01","51126","00061720","00001","2017","20170127","20170127","EUR","EUR","81.00","H","","","","","","","0100015460","0100015461","","D","C0001","","","0001","","","1100077511
","","","","",""
"910","F001","DBK1","DB01","51129","00061723","00001","2017","20170127","20170127","EUR","EUR","83.00","H","","","","","","","0100015466","0100015467","","D","C0001","","","0001","","","1/100077515
","","","","",""
"910","F001","DBK1","DB01","51146","00061740","00001","2017","20170127","20170127","EUR","EUR","30.00","H","","","","","","","0100015500","0100015501","","D","C0001","","","0001","","","110/0077535
","","","","",""
"910","F001","DBK1","DB01","51147","00061741","00001","2017","20170127","20170127","EUR","EUR","93.00","H","","","","","","","0100015502","0100015503","","D","C0001","","","0001","","","110 0077536
","","","","",""
"910","F001","DBK1","DB01","51157","00061751","00001","2017","20170127","20170127","EUR","EUR","81.00","H","","","","","","","0100015522","0100015523","","D","C0001","","","0001","","","1100077556
","","","","",""
"910","F001","DBK1","DB01","51158","00061752","00001","2017","20170127","20170127","EUR","EUR","85.00","H","","","","","","","0100015524","0100015525","","D","C0001","","","0001","","","11 00077557
","","","","",""
"910","F001","DBK1","DB01","51186","00061780","00001","2017","20170127","20170127","EUR","EUR","37.00","H","","","","","","","0100015580","0100015581","","D","C0001","","","0001","","","1100077665
","","","","",""
"910","F001","DBK1","DB01","51193","00061787","00001","2017","20170127","20170127","EUR","EUR","49.00","H","","","","","","","0100015594","0100015595","","D","C0001","","","0001","","","1100077673
","","","","",""
"910","F001","DBK1","DB01","51195","00061789","00001","2017","20170127","20170127","EUR","EUR","70.00","H","","","","","","","0100015598","0100015599","","D","C0001","","","0001","","","1/100077675
","","","","",""
"910","F001","DBK1","DB01","51204","00061798","00001","2017","20170127","20170127","EUR","EUR","88.00","H","","","","","","","0100015616","0100015617","","D","C0001","","","0001","","","1100077685
","","","","",""
"910","F001","DBK1","DB01","51210","00061804","00001","2017","20170127","20170127","EUR","EUR","85.00","H","","","","","","","0100015628","0100015629","","D","C0001","","","0001","","","1100077696
","","","","",""
"910","F001","DBK1","DB01","51221","00061815","00001","2017","20170127","20170127","EUR","EUR","20.00","H","","","","","","","0100015650","0100015651","","D","C0001","","","0001","","","1/00077708
","","","","",""
"910","F001","DBK1","DB01","51233","00061827","00001","2017","20170127","20170127","EUR","EUR","44.00","H","","","","","","","0100015674","0100015675","","D","C0001","","","0001","","","1100077722
","","","","",""
"910","F001","DBK1","DB01","51234","00061828","00001","2017","20170127","20170127","EUR","EUR","17.00","H","","","","","","","0100015676","0100015677","","D","C0001","","","0001","","","110/0077723
","","","","",""
"910","F001","DBK1","DB01","51236","00061830","00001","2017","20170127","20170127","EUR","EUR","70.00","H","","","","","","","0100015680","0100015681","","D","C0001","","","0001","","","1100077725
","","","","",""
"910","F001","DBK1","DB01","51238","00061832","00001","2017","20170127","20170127","EUR","EUR","51.00","H","","","","","","","0100015684","0100015685","","D","C0001","","","0001","","","11/0077728
","","","","",""
"910","F001","DBK1","DB01","51243","00061837","00001","2017","20170127","20170127","EUR","EUR","90.00","H","","","","","","","0100015694","0100015695","","D","C0001","","","0001","","","1100077733
","","","","",""
"910","F001","DBK1","DB01","51252","00061846","00001","2017","20170127","20170127","EUR","EUR","25.00","H","","","","","","","0100015712","0100015713","","D","C0001","","","0001","","","1100077743
","","","","",""
"910","F001","DBK1","DB01","51257","00061851","00001","2017","20170127","20170127","EUR","EUR","40.00","H","","","","","","","0100015722","0100015723","","D","C0001","","","0001","","","1100077749
","","","","",""
"910","F001","DBK1","DB01","51270","00061864","00001","2017","20170127","20170127","EUR","EUR","13.00","H","","","","","","","0100015748","0100015749","","D","C0001","","","0001","","","1100077764
","","","","",""
"910","F001","DBK1","DB01","51277","00061871","00001","2017","20170127","20170127","EUR","EUR","27.00","H","","","","","","","0100015762","0100015763","","D","C0001","","","0001","","","1100077774
","","","","",""
"910","F001","DBK1","DB01","51318","00061912","00001","2017","20170128","20170128","EUR","EUR","56.00","H","","","","","","","0100015844","0100015845","","D","C0001","","","0001","","","110 0077827
","","","","",""
"910","F001","DBK1","DB01","51333","00061927","00001","2017","20170128","20170128","EUR","EUR","64.00","H","","","","","","","0100015874","0100015875","","D","C0001","","","0001","","","1100077843
","","","","",""
"910","F001","DBK1","DB01","51336","00061930","00001","2017","20170128","20170128","EUR","EUR","65.00","H","","","","","","","0100015880","0100015881","","D","C0001","","","0001","","","110 0077846
","","","","",""
"910","F001","DBK1","DB01","51350","00061944","00001","2017","20170128","20170128","EUR","EUR","19.00","H","","","","","","","0100015908","0100015909","","D","C0001","","","0001","","","110 0077861
","","","","",""
"910","F001","DBK1","DB01","51357","00061951","00001","2017","20170128","20170128","EUR","EUR","46.00","H","","","","","","","0100015922","0100015923","","D","C0001","","","0001","","","1100077871
","","","","",""
"910","F001","DBK1","DB01","51362","00061956","00001","2017","20170128","20170128","EUR","EUR","31.00","H","","","","","","","0100015932","0100015933","","D","C0001","","","0001","","","11 00077876
","","","","",""
"910","F001","DBK1","DB01","51367","00061961","00001","2017","20170128","20170128","EUR","EUR","66.00","H","","","","","","","0100015942","0100015943","","D","C0001","","","0001","","","1100077881
","","","","",""
"910","F001","DBK1","DB01","51370","00061964","00001","2017","20170128","20170128","EUR","EUR","11.00","H","","","","","","","0100015948","0100015949","","D","C0001","","","0001","","","1100077884
","","","","",""
"910","F001","DBK1","DB01","51390","00061984","00001","2017","20170128","20170128","EUR","EUR","36.00","H","","","","","","","0100015987","0100015989","","D","C0001","","","0001","","","1100077911
","","","","",""
"910","F001","DBK1","DB01","51430","00062025","00001","2017","20170128","20170128","EUR","EUR","65.00","H","","","","","","","0100016110","0100016111","","D","C0001","","","0001","","","1100078026
","","","","",""
"910","F001","DBK1","DB01","51432","00062027","00001","2017","20170128","20170128","EUR","EUR","98.00","H","","","","","","","0100016114","0100016115","","D","C0001","","","0001","","","1100078028
","","","","",""
"910","F001","DBK1","DB01","51454","00062049","00001","2017","20170128","20170128","EUR","EUR","98.00","H","","","","","","","0100016158","0100016159","","D","C0001","","","0001","","","1100078053
","","","","",""
"910","F001","DBK1","DB01","51475","00062070","00001","2017","20170128","20170128","EUR","EUR","77.00","H","","","","","","","0100016200","0100016201","","D","C0001","","","0001","","","1 100078079
","","","","",""
"910","F001","DBK1","DB01","51486","00062081","00001","2017","20170128","20170128","EUR","EUR","10.00","H","","","","","","","0100016222","0100016223","","D","C0001","","","0001","","","1100078092
","","","","",""
"910","F001","DBK1","DB01","51487","00062082","00001","2017","20170128","20170128","EUR","EUR","93.00","H","","","","","","","0100016224","0100016225","","D","C0001","","","0001","","","1/100078093
","","","","",""
"910","F001","DBK1","DB01","51509","00062104","00001","2017","20170128","20170128","EUR","EUR","31.00","H","","","","","","","0100016268","0100016269","","D","C0001","","","0001","","","11/00078119
","","","","",""
"910","F001","DBK1","DB01","51512","00062107","00001","2017","20170128","20170128","EUR","EUR","66.00","H","","","","","","","0100016274","0100016275","","D","C0001","","","0001","","","11/0078122
","","","","",""
"910","F001","DBK1","DB01","51513","00062108","00001","2017","20170128","20170128","EUR","EUR","37.00","H","","","","","","","0100016276","0100016277","","D","C0001","","","0001","","","1/100078125
","","","","",""
"910","F001","DBK1","DB01","51518","00062113","00001","2017","20170128","20170128","EUR","EUR","62.00","H","","","","","","","0100016286","0100016287","","D","C0001","","","0001","","","1/00078132
","","","","",""
"910","F001","DBK1","DB01","51521","00062116","00001","2017","20170128","20170128","EUR","EUR","35.00","H","","","","","","","0100016292","0100016293","","D","C0001","","","0001","","","1/00078135
","","","","",""
"910","F001","DBK1","DB01","51534","00062129","00001","2017","20170128","20170128","EUR","EUR","49.00","H","","","","","","","0100016318","0100016319","","D","C0001","","","0001","","","110/0078151
","","","","",""
"910","F001","DBK1","DB01","51551","00062146","00001","2017","20170128","20170128","EUR","EUR","74.00","H","","","","","","","0100016352","0100016353","","D","C0001","","","0001","","","110 0078173
","","","","",""
"910","F001","DBK1","DB01","51559","00062154","00001","2017","20170128","20170128","EUR","EUR","85.00","H","","","","","","","0100016368","0100016369","","D","C0001","","","0001","","","1100078181
","","","","",""
"910","F001","DBK1","DB01","51561","00062156","00001","2017","20170128","20170128","EUR","EUR","57.00","H","","","","","","","0100016372","0100016373","","D","C0001","","","0001","","","110/078183
","","","","",""
"910","F001","DBK1","DB01","51572","00062167","00001","2017","20170128","20170128","EUR","EUR","80.00","H","","","","","","","0100016394","0100016395","","D","C0001","","","0001","","","1100078198
","","","","",""
"910","F001","DBK1","DB01","51579","00062174","00001","2017","20170128","20170128","EUR","EUR","66.00","H","","","","","","","0100016408","0100016409","","D","C0001","","","0001","","","1100078208
","","","","",""
"910","F001","DBK1","DB01","51585","00062180","00001","2017","20170128","20170128","EUR","EUR","10.00","H","","","","","","","0100016420","0100016421","","D","C0001","","","0001","","","1100078215
","","","","",""
"910","F001","DBK1","DB01","51595","00062190","00001","2017","20170128","20170128","EUR","EUR","41.00","H","","","","","","","0100016440","0100016441","","D","C0001","","","0001","","","1/00078227
","","","","",""
"910","F001","DBK1","DB01","51602","00062197","00001","2017","20170128","20170128","EUR","EUR","82.00","H","","","","","","","0100016454","0100016455","","D","C0001","","","0001","","","1/00078234
","","","","",""
"910","F001","DBK1","DB01","51606","00062201","00001","2017","20170128","20170128","EUR","EUR","12.00","H","","","","","","","0100016462","0100016463","","D","C0001","","","0001","","","11/0078239
","","","","",""
"910","F001","DBK1","DB01","51613","00062208","00001","2017","20170128","20170128","EUR","EUR","36.00","H","","","","","","","0100016476","0100016477","","D","C0001","","","0001","","","11/0078247
","","","","",""
"910","F001","DBK1","DB01","51618","00062213","00001","2017","20170128","20170128","EUR","EUR","73.00","H","","","","","","","0100016486","0100016487","","D","C0001","","","0001","","","1100078253
","","","","",""
"910","F001","DBK1","DB01","51625","00062220","00001","2017","20170128","20170128","EUR","EUR","24.00","H","","","","","","","0100016500","0100016501","","D","C0001","","","0001","","","1100078261
","","","","",""
"910","F001","DBK1","DB01","51635","00062230","00001","2017","20170128","20170128","EUR","EUR","74.00","H","","","","","","","0100016520","0100016521","","D","C0001","","","0001","","","1/00078272
","","","","",""
"910","F001","DBK1","DB01","51638","00062233","00001","2017","20170128","20170128","EUR","EUR","22.00","H","","","","","","","0100016526","0100016527","","D","C0001","","","0001","","","1/00078276
","","","","",""
"910","F001","DBK1","DB01","51639","00062234","00001","2017","20170128","20170128","EUR","EUR","34.00","H","","","","","","","0100016528","0100016529","","D","C0001","","","0001","","","110/078277
","","","","",""
"910","F001","DBK1","DB01","51651","00062246","00001","2017","20170128","20170128","EUR","EUR","88.00","H","","","","","","","0100016552","0100016553","","D","C0001","","","0001","","","110/0078292
","","","","",""
"910","F001","DBK1","DB01","51656","00062251","00001","2017","20170128","20170128","EUR","EUR","48.00","H","","","","","","","0100016562","0100016563","","D","C0001","","","0001","","","11/00078298
","","","","",""
"910","F001","DBK1","DB01","51661","00062256","00001","2017","20170128","20170128","EUR","EUR","47.00","H","","","","","","","0100016572","0100016573","","D","C0001","","","0001","","","1100078303
","","","","",""
"910","F001","DBK1","DB01","51666","00062261","00001","2017","20170128","20170128","EUR","EUR","97.00","H","","","","","","","0100016582","0100016583","","D","C0001","","","0001","","","110/078308
","","","","",""
"910","F001","DBK1","DB01","51668","00062263","00001","2017","20170128","20170128","EUR","EUR","90.00","H","","","","","","","0100016586","0100016587","","D","C0001","","","0001","","","1100078310
","","","","",""
"910","F001","DBK1","DB01","51669","00062264","00001","2017","20170128","20170128","EUR","EUR","90.00","H","","","","","","","0100016588","0100016589","","D","C0001","","","0001","","","1 100078311
","","","","",""
"910","F001","DBK1","DB01","51672","00062267","00001","2017","20170128","20170128","EUR","EUR","83.00","H","","","","","","","0100016594","0100016595","","D","C0001","","","0001","","","1100078314
","","","","",""
"910","F001","DBK1","DB01","51673","00062268","00001","2017","20170128","20170128","EUR","EUR","30.00","H","","","","","","","0100016596","0100016597","","D","C0001","","","0001","","","1 100078315
","","","","",""
"910","F001","DBK1","DB01","51674","00062269","00001","2017","20170128","20170128","EUR","EUR","17.00","H","","","","","","","0100016598","0100016599","","D","C0001","","","0001","","","1/00078316
","","","","",""
"910","F001","DBK1","DB01","51680","00062275","00001","2017","20170128","20170128","EUR","EUR","30.00","H","","","","","","","0100016610","0100016611","","D","C0001","","","0001","","","1100078323
","","","","",""
"910","F001","DBK1","DB01","51687","00062282","00001","2017","20170128","20170128","EUR","EUR","93.00","H","","","","","","","0100016624","0100016625","","D","C0001","","","0001","","","1 100078332
","","","","",""
"910","F001","DBK1","DB01","51689","00062284","00001","2017","20170128","20170128","EUR","EUR","68.00","H","","","","","","","0100016628","0100016629","","D","C0001","","","0001","","","1100078334
","","","","",""
"910","F001","DBK1","DB01","51691","00062286","00001","2017","20170128","20170128","EUR","EUR","37.00","H","","","","","","","0100016632","0100016633","","D","C0001","","","0001","","","1100078336
","","","","",""
"910","F001","DBK1","DB01","51692","00062287","00001","2017","20170128","20170128","EUR","EUR","86.00","H","","","","","","","0100016634","0100016635","","D","C0001","","","0001","","","1100078337
","","","","",""
"910","F001","DBK1","DB01","51705","00062300","00001","2017","20170128","20170128","EUR","EUR","77.00","H","","","","","","","0100016660","0100016661","","D","C0001","","","0001","","","110/078355
","","","","",""
"910","F001","DBK1","DB01","51709","00062304","00001","2017","20170128","20170128","EUR","EUR","51.00","H","","","","","","","0100016668","0100016669","","D","C0001","","","0001","","","1100078360
","","","","",""
"910","F001","DBK1","DB01","51711","00062306","00001","2017","20170128","20170128","EUR","EUR","32.00","H","","","","","","","0100016672","0100016673","","D","C0001","","","0001","","","11 00078362
","","","","",""
"910","F001","DBK1","DB01","51716","00062311","00001","2017","20170128","20170128","EUR","EUR","22.00","H","","","","","","","0100016682","0100016683","","D","C0001","","","0001","","","1/100078367
","","","","",""
"910","F001","DBK1","DB01","51718","00062313","00001","2017","20170128","20170128","EUR","EUR","99.00","H","","","","","","","0100016686","0100016687","","D","C0001","","","0001","","","1100078369
","","","","",""
"910","F001","DBK1","DB01","51731","00062326","00001","2017","20170128","20170128","EUR","EUR","30.00","H","","","","","","","0100016712","0100016713","","D","C0001","","","0001","","","1100078387
","","","","",""
"910","F001","DBK1","DB01","51751","00062346","00001","2017","20170128","20170128","EUR","EUR","91.00","H","","","","","","","0100016752","0100016753","","D","C0001","","","0001","","","1100078414
","","","","",""
"910","F001","DBK1","DB01","51752","00062347","00001","2017","20170128","20170128","EUR","EUR","83.00","H","","","","","","","0100016754","0100016755","","D","C0001","","","0001","","","1/100078415
","","","","",""
"910","F001","DBK1","DB01","51757","00062352","00001","2017","20170128","20170128","EUR","EUR","10.00","H","","","","","","","0100016764","0100016765","","D","C0001","","","0001","","","110 0078420
","","","","",""
"910","F001","DBK1","DB01","51765","00062360","00001","2017","20170128","20170128","EUR","EUR","83.00","H","","","","","","","0100016780","0100016781","","D","C0001","","","0001","","","11 00078430
","","","","",""
"910","F001","DBK1","DB01","51778","00062373","00001","2017","20170128","20170128","EUR","EUR","38.00","H","","","","","","","0100016806","0100016807","","D","C0001","","","0001","","","11/00078444
","","","","",""
"910","F001","DBK1","DB01","51781","00062376","00001","2017","20170128","20170128","EUR","EUR","56.00","H","","","","","","","0100016812","0100016813","","D","C0001","","","0001","","","1100078447
","","","","",""
"910","F001","DBK1","DB01","51793","00062388","00001","2017","20170128","20170128","EUR","EUR","66.00","H","","","","","","","0100016836","0100016837","","D","C0001","","","0001","","","1100078460
","","","","",""
"910","F001","DBK1","DB01","51799","00062394","00001","2017","20170128","20170128","EUR","EUR","98.00","H","","","","","","","0100016848","0100016849","","D","C0001","","","0001","","","1 100078467
","","","","",""
"910","F001","DBK1","DB01","51800","00062395","00001","2017","20170128","20170128","EUR","EUR","11.00","H","","","","","","","0100016850","0100016851","","D","C0001","","","0001","","","1100078468
","","","","",""
"910","F001","DBK1","DB01","51825","00062420","00001","2017","20170128","20170128","EUR","EUR","92.00","H","","","","","","","0100016900","0100016901","","D","C0001","","","0001","","","1 100078501
","","","","",""
"910","F001","DBK1","DB01","51827","00062422","00001","2017","20170128","20170128","EUR","EUR","63.00","H","","","","","","","0100016904","0100016905","","D","C0001","","","0001","","","11/00078503
","","","","",""
"910","F001","DBK1","DB01","51836","00062431","00001","2017","20170128","20170128","EUR","EUR","46.00","H","","","","","","","0100016922","0100016923","","D","C0001","","","0001","","","1100078512
","","","","",""
"910","F001","DBK1","DB01","51840","00062435","00001","2017","20170128","20170128","EUR","EUR","41.00","H","","","","","","","0100016930","0100016931","","D","C0001","","","0001","","","1100078517
","","","","",""
